IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
38.207.129.91,39738,true,LAX,北美洲,美国洛杉矶,1 ms,73929 kB/s
38.207.129.218,39738,true,LAX,北美洲,美国洛杉矶,5 ms,56268 kB/s
38.207.129.63,29019,true,LAX,北美洲,美国洛杉矶,5 ms,53817 kB/s
38.207.129.68,19426,true,PDX,北美洲,美国波特兰,4 ms,40703 kB/s
141.11.139.102,37102,true,NRT,亚太,日本东京,105 ms,32739 kB/s
38.207.133.217,10274,true,HKG,亚太,香港,147 ms,29642 kB/s
38.207.133.217,10365,true,HKG,亚太,香港,152 ms,29638 kB/s
38.207.133.217,10311,true,HKG,亚太,香港,146 ms,29341 kB/s
38.207.133.217,10226,true,HKG,亚太,香港,154 ms,29256 kB/s
38.207.133.217,10343,true,HKG,亚太,香港,152 ms,29119 kB/s
38.207.133.217,10390,true,HKG,亚太,香港,150 ms,28483 kB/s
38.207.133.217,10394,true,HKG,亚太,香港,151 ms,28453 kB/s
38.207.133.217,10378,true,HKG,亚太,香港,153 ms,28318 kB/s
38.207.133.217,10386,true,HKG,亚太,香港,151 ms,28283 kB/s
38.207.133.217,10209,true,HKG,亚太,香港,147 ms,28232 kB/s
38.207.133.217,10381,true,HKG,亚太,香港,147 ms,28186 kB/s
38.207.133.217,10306,true,HKG,亚太,香港,326 ms,28132 kB/s
38.207.133.217,10316,true,HKG,亚太,香港,152 ms,28040 kB/s
38.207.133.217,10283,true,HKG,亚太,香港,152 ms,27649 kB/s
38.207.133.217,10235,true,HKG,亚太,香港,153 ms,27631 kB/s
38.207.133.217,10352,true,HKG,亚太,香港,150 ms,27567 kB/s
38.207.133.217,10293,true,HKG,亚太,香港,147 ms,26787 kB/s
38.207.133.217,10294,true,HKG,亚太,香港,153 ms,25923 kB/s
38.207.133.217,10284,true,HKG,亚太,香港,154 ms,22924 kB/s
38.207.133.217,10232,true,HKG,亚太,香港,140 ms,22322 kB/s
38.207.133.217,10248,true,HKG,亚太,香港,152 ms,21881 kB/s
